timestamp_utc,item_id,item_name,region,min_unit_price_copper,total_quantity,num_auctions
2026-06-14T11:48:40+00:00,243605,Dawn Crystal,eu,4846200,13352,990
2026-06-14T11:48:40+00:00,243606,Dawn Crystal,eu,7199900,4729,407
2026-06-14T19:09:28+00:00,243605,Dawn Crystal,eu,4044900,11769,1510
2026-06-14T19:09:28+00:00,243606,Dawn Crystal,eu,7119800,7434,442
2026-06-15T15:36:26+00:00,243605,Dawn Crystal,eu,4800000,5748,596
2026-06-15T15:36:26+00:00,243606,Dawn Crystal,eu,7389800,4395,548
2026-06-15T20:45:48+00:00,243605,Dawn Crystal,eu,4870000,10151,620
2026-06-15T20:45:48+00:00,243606,Dawn Crystal,eu,6759400,4845,421
2026-06-16T14:51:52+00:00,243605,Dawn Crystal,eu,5500000,1875,95
2026-06-16T14:51:52+00:00,243606,Dawn Crystal,eu,8900000,3378,111
2026-06-16T20:38:23+00:00,243605,Dawn Crystal,eu,5180000,8631,794
2026-06-16T20:38:23+00:00,243606,Dawn Crystal,eu,7700000,8985,957
2026-06-17T20:00:07+00:00,243605,Dawn Crystal,eu,4190000,13814,992
2026-06-17T20:00:07+00:00,243606,Dawn Crystal,eu,7807900,11455,1669
2026-06-18T12:44:55+00:00,243605,Dawn Crystal,eu,5050000,4450,376
2026-06-18T12:44:55+00:00,243606,Dawn Crystal,eu,7309900,9524,1235
2026-06-18T20:11:04+00:00,243605,Dawn Crystal,eu,4269900,6760,699
2026-06-18T20:11:04+00:00,243606,Dawn Crystal,eu,6700000,10137,1277
2026-06-19T13:26:55+00:00,243605,Dawn Crystal,eu,4979700,3074,265
2026-06-19T13:26:55+00:00,243606,Dawn Crystal,eu,6384000,7810,973
2026-06-19T19:25:54+00:00,243605,Dawn Crystal,eu,3843600,4995,637
2026-06-19T19:25:54+00:00,243606,Dawn Crystal,eu,5939900,10255,1412
2026-06-20T11:49:49+00:00,243605,Dawn Crystal,eu,4489900,4026,281
2026-06-20T11:49:49+00:00,243606,Dawn Crystal,eu,6719900,4541,252
2026-06-20T19:09:24+00:00,243605,Dawn Crystal,eu,4154200,5156,551
2026-06-20T19:09:24+00:00,243606,Dawn Crystal,eu,6756600,7355,496
2026-06-21T12:04:42+00:00,243605,Dawn Crystal,eu,5449900,4206,231
2026-06-21T12:04:42+00:00,243606,Dawn Crystal,eu,6782000,8157,676
2026-06-21T19:15:07+00:00,243605,Dawn Crystal,eu,4390000,5739,672
2026-06-21T19:15:07+00:00,243606,Dawn Crystal,eu,6731900,9395,899
2026-06-22T15:12:16+00:00,243605,Dawn Crystal,eu,4907700,4171,509
2026-06-22T15:12:16+00:00,243606,Dawn Crystal,eu,6746000,9436,1036
2026-06-22T20:34:13+00:00,243605,Dawn Crystal,eu,4622700,7061,1022
2026-06-22T20:34:13+00:00,243606,Dawn Crystal,eu,6550200,9836,1112
2026-06-23T12:27:54+00:00,243605,Dawn Crystal,eu,4790000,2177,278
2026-06-23T12:27:54+00:00,243606,Dawn Crystal,eu,6630000,3799,533
2026-06-23T19:49:51+00:00,243605,Dawn Crystal,eu,4494700,4885,601
2026-06-23T19:49:51+00:00,243606,Dawn Crystal,eu,6983500,2364,144
2026-06-24T12:13:08+00:00,243605,Dawn Crystal,eu,4760100,5658,420
2026-06-24T12:13:08+00:00,243606,Dawn Crystal,eu,6801700,5956,687
2026-06-24T19:26:25+00:00,243605,Dawn Crystal,eu,3780000,10282,1207
2026-06-24T19:26:25+00:00,243606,Dawn Crystal,eu,6505600,6939,1002
2026-06-25T12:11:16+00:00,243605,Dawn Crystal,eu,3999900,5909,537
2026-06-25T12:11:16+00:00,243606,Dawn Crystal,eu,6430000,7414,965
2026-06-25T19:45:41+00:00,243605,Dawn Crystal,eu,4118400,7163,755
2026-06-25T19:45:41+00:00,243606,Dawn Crystal,eu,6419500,8371,844
2026-06-26T12:05:36+00:00,243605,Dawn Crystal,eu,4209600,3863,326
2026-06-26T12:05:36+00:00,243606,Dawn Crystal,eu,6289900,5837,684
2026-06-26T19:28:06+00:00,243605,Dawn Crystal,eu,4493300,2837,348
2026-06-26T19:28:06+00:00,243606,Dawn Crystal,eu,6192800,4456,659
2026-06-27T11:18:36+00:00,243605,Dawn Crystal,eu,4508800,3870,234
2026-06-27T11:18:36+00:00,243606,Dawn Crystal,eu,6074000,5843,376
2026-06-27T19:04:22+00:00,243605,Dawn Crystal,eu,4007500,5352,448
2026-06-27T19:04:22+00:00,243606,Dawn Crystal,eu,6289700,5301,235
2026-06-28T11:40:09+00:00,243605,Dawn Crystal,eu,4720000,2380,131
2026-06-28T11:40:09+00:00,243606,Dawn Crystal,eu,6750000,4197,229
2026-06-29T13:57:26+00:00,243605,Dawn Crystal,eu,4950000,2922,107
2026-06-29T13:57:26+00:00,243606,Dawn Crystal,eu,6250000,6491,648
2026-06-29T19:42:58+00:00,243605,Dawn Crystal,eu,4500000,4451,396
2026-06-29T19:42:58+00:00,243606,Dawn Crystal,eu,6200000,5125,502
2026-06-30T12:03:59+00:00,243605,Dawn Crystal,eu,4500000,3120,203
2026-06-30T12:03:59+00:00,243606,Dawn Crystal,eu,6430000,4918,422
2026-06-30T19:42:28+00:00,243605,Dawn Crystal,eu,5069100,7071,778
2026-06-30T19:42:28+00:00,243606,Dawn Crystal,eu,6613100,2605,205
2026-07-01T12:26:50+00:00,243605,Dawn Crystal,eu,5000000,5613,573
2026-07-01T12:26:50+00:00,243606,Dawn Crystal,eu,6680000,3679,322
2026-07-01T19:29:27+00:00,243605,Dawn Crystal,eu,4170000,6224,747
2026-07-01T19:29:27+00:00,243606,Dawn Crystal,eu,6457000,5461,699
2026-07-02T12:01:00+00:00,243605,Dawn Crystal,eu,4879500,2474,354
2026-07-02T12:01:00+00:00,243606,Dawn Crystal,eu,6594200,4870,437
2026-07-02T19:09:30+00:00,243605,Dawn Crystal,eu,4105000,5504,708
2026-07-02T19:09:30+00:00,243606,Dawn Crystal,eu,6179900,7187,713
2026-07-03T11:59:23+00:00,243605,Dawn Crystal,eu,4749800,1955,128
2026-07-03T11:59:23+00:00,243606,Dawn Crystal,eu,6368300,5056,421
2026-07-03T19:01:57+00:00,243605,Dawn Crystal,eu,4283300,4971,729
2026-07-03T19:01:57+00:00,243606,Dawn Crystal,eu,6157300,4745,616
2026-07-04T11:16:16+00:00,243605,Dawn Crystal,eu,4899800,2857,344
2026-07-04T11:16:16+00:00,243606,Dawn Crystal,eu,6149900,10036,684
2026-07-04T18:56:31+00:00,243605,Dawn Crystal,eu,4467900,3548,585
2026-07-04T18:56:31+00:00,243606,Dawn Crystal,eu,6070000,6831,826
2026-07-05T11:22:14+00:00,243605,Dawn Crystal,eu,4797700,5028,362
2026-07-05T11:22:14+00:00,243606,Dawn Crystal,eu,6274900,10785,871
2026-07-05T19:02:05+00:00,243605,Dawn Crystal,eu,4289900,7624,498
2026-07-05T19:02:05+00:00,243606,Dawn Crystal,eu,6219400,11792,929
2026-07-06T13:36:46+00:00,243605,Dawn Crystal,eu,4649900,4050,193
2026-07-06T13:36:46+00:00,243606,Dawn Crystal,eu,6175000,9289,766
2026-07-06T19:42:49+00:00,243605,Dawn Crystal,eu,4889900,2398,89
2026-07-06T19:42:49+00:00,243606,Dawn Crystal,eu,6198400,10406,862
2026-07-07T12:21:11+00:00,243605,Dawn Crystal,eu,5289700,2468,275
2026-07-07T12:21:11+00:00,243606,Dawn Crystal,eu,6327800,6138,431
2026-07-07T19:41:21+00:00,243605,Dawn Crystal,eu,4890000,3563,537
2026-07-07T19:41:21+00:00,243606,Dawn Crystal,eu,6792900,4851,329
2026-07-08T11:41:09+00:00,243605,Dawn Crystal,eu,4949900,5458,515
2026-07-08T11:41:09+00:00,243606,Dawn Crystal,eu,6109000,3705,383
2026-07-08T19:07:16+00:00,243605,Dawn Crystal,eu,4899800,4071,529
2026-07-08T19:07:16+00:00,243606,Dawn Crystal,eu,6400000,4826,414
2026-07-09T19:22:53+00:00,243605,Dawn Crystal,eu,5000700,2152,397
2026-07-09T19:22:53+00:00,243606,Dawn Crystal,eu,6421100,6032,776
2026-07-10T12:18:17+00:00,243605,Dawn Crystal,eu,5230000,2503,230
2026-07-10T12:18:17+00:00,243606,Dawn Crystal,eu,6350000,5708,641
2026-07-10T19:15:40+00:00,243605,Dawn Crystal,eu,4252200,2992,541
2026-07-10T19:15:40+00:00,243606,Dawn Crystal,eu,6009000,5431,665
2026-07-11T10:53:02+00:00,243605,Dawn Crystal,eu,4920000,4275,426
2026-07-11T10:53:02+00:00,243606,Dawn Crystal,eu,6310000,4446,416
2026-07-11T18:44:51+00:00,243605,Dawn Crystal,eu,4700000,4202,407
2026-07-11T18:44:51+00:00,243606,Dawn Crystal,eu,6223800,5900,506
2026-07-12T11:03:30+00:00,243605,Dawn Crystal,eu,4677500,6030,565
2026-07-12T11:03:30+00:00,243606,Dawn Crystal,eu,6030000,20760,707
2026-07-12T18:51:05+00:00,243605,Dawn Crystal,eu,4499900,7598,858
2026-07-12T18:51:05+00:00,243606,Dawn Crystal,eu,6017600,5898,699
